Korean,English
살인,murder
신호,signal
아버님,Father
의심하다,doubt
인,person
잇따르다,one after another
자랑하다,brag
자판,keyboard
적용,apply
중반,mid
지시하다,instruct
출발,depart
허용하다,allow
가르침,teaching
각국,each country
교과서,textbook
그려지다,drawn
꾸준히,untiringly
년도,year
다수,multitude
덕분,thanks
돼지,pig
두드리다,knock
물음,question
빌다,pray
스님,monk
썩다,molder
어머님,Mother
엉뚱하다,It's weird
여보,honey
잊어버리다,forget
정면,frontal
개국,opening
계산하다,calculate
근원,source
기차,train
담그다,dip
마음대로,as you please
며느리,daughter-in-law
믿음,trust
발견,find
보고,report
부탁하다,please
사용자,user
사회주의,socialism
설치되다,be installed
식탁,table
실패하다,fail
영원하다,forever
우연히,by chance
자극,stimulation
직접,directly
짚다,point out
총리,prime minister
칭찬,compliment
튼튼하다,sturdy
공원,park
긍정적,positive
논의하다,discuss
대출,loan
덕,virtue
뒤집다,reverse
먼지,dust
바닷가,beach
바치다,devote
반하다,fall in love
발표되다,announced
부정하다,unclean
불러일으키다,evoke
사원,mosque
소유자,owner
씹다,chew
아무튼,anyway
액수,amount
왠지,Somehow
욕심,greed
우승,win
제출하다,submit
조심스럽다,I'm careful
직전,eve
짐작하다,guess
택하다,select
피시,fish
흘러나오다,flow out
간단히,simply
강물,river water
거꾸로,upside down
궁극적,ultimate
극히,like mad
기여하다,contribute
꼭,please
날짜,date
대륙,continent
되게,Quite
뒤따르다,beset
리듬,rhythm
모니터,monitor
범인,criminal
변동,change
불가피하다,it's inevitable
삶다,boil
샌드위치,sandwich
서류,document
손해,damage
숨지다,hide
아유,Wow
요청,request
운,luck
일상생활,daily life
자존심,pride
주저앉다,sit down
증권사,Securities company
초원,prairie
최종,final
회복하다,recover
흘러가다,flow
흥미,interest
검사,test
그쪽,over there
내려다보다,look down
눈썹,eyebrow
대신하다,replace
두렵다,I'm afraid
등장,appeared
디자인,design
마디,word
미처,Before I knew it
비닐,vinyl
비율,ratio
생물,creature
소음,noise
양국,both countries
얼핏,At first glance
오래되다,old
웬,wen
조각,piece
중부,Central
채소,vegetable
침,saliva
털,hair
판매하다,sell
항의,protest
확보,secure
환경오염,environmental pollution
가치관,values
검은색,black
고생하다,suffer
기원전,B.C.
긴급,emergency
꺾다,break
꿈꾸다,dream
무려,How much
수표,check
실태,reality
아쉽다,it's a shame
애정,affection
어머,oh
여보세요,hello
일정,schedule
장르,genre
저렇다,It's like that
접하다,abut
제약,pharmaceutical
추가,addition
테이프,streamer
품,Poom
해석,analysis
확인되다,confirmed
가하다,inflict
간장,soy sauce
강의,lecture
거,thing
고민하다,worry
과,class
교환,exchange
국어,Korean
노랗다,yellow
다치다,damage
동양,Orient
동포,compatriots
뚫다,bore
새,bird
악기,musical instrument
연말,year end
올려놓다,put up
외면하다,turn away
원고,manuscript
줄곧,all along
지출,expenditure
차,car
피로,fatigue
향,incense
개선하다,improve
계좌,account
당기다,tug
들다,hold
따르다,follow
말기,last period
말없이,Without saying a word
망하다,fall
문서,document
박수,clap
부자,the rich
사흘,three days
서쪽,west
성립되다,established
신랑,groom
실습,practice
일찍이,early
자율,autonomy
제법,quite
천장,ceiling
파다,dig
하긴,but
해결되다,solved
향상,elevation
화가,artist
가라앉다,sink
감싸다,tuck
고작,At best
구경하다,watch
국물,soup
기구,machine
깔다,lay
다짐하다,promise
대합실,waiting room
매장,burial
멀어지다,move away
명칭,designation
불쌍하다,pitiful
상업,commerce
생산되다,produced
숨기다,occult
실력,skill
야채,vegetable
엉덩이,hips
울음,weeping
이달,this month
인체,anatomy
저고리,Jeogori
즐거움,joy
진단,diagnosis
질병,disease
체력,stamina
친하다,friendly
헤아리다,count
각기,each
경찰서,police office
곧바로,straight
관찰,observation
구두,shoes
군사,soldier
귀신,ghost
귀하다,precious
그토록,So much
기초하다,base
깊이,depth
나뭇가지,tree branch
낫다,surpass
답하다,answer
대가,cost
더위,heat
되찾다,get back
무덤,tomb
물결,wave
밥상,dining table
보장하다,guarantee
서너,three or four
솟다,tower
실패,failure
예상하다,expect
예외,exception
완전,perfection
웃기다,yak
유리,glass
제작하다,produce
쥐,mouse
최대한,as much as possible
품다,incubate
하하,haha
형부,brother-in-law
휴식,rest
굳다,harden
굳어지다,harden
굶다,starve
금년,this year
기기,machinery and tools
까맣다,It's black
나침반,compass
농부,peasant
대학원,graduate school
더럽다,dirty
도달하다,reach
뒤늦다,It's too late
뒤지다,fall behind
등록,registration
디스크,disk
맛보다,taste
무늬,pattern
문장,sentence
묻다,ask
변호사,lawyer
상상력,imagination
여학생,schoolgirl
예,yes
예방,prevention
완성,completion
유리하다,advantageous
자연환경,natural environment
증명하다,prove
지적되다,point out
철저히,completely
코스,course
학부모,parents
합리적,reasonable
해석하다,interpret
힘쓰다,exert effort
거듭,repeatedly
귀국하다,return home
기뻐하다,rejoice
날리다,fly
내려놓다,put down
냉장고,refrigerator
당근,carrot
뛰어넘다,jump over
맞이하다,welcome
불행하다,unhappy
신고하다,report
연속,sequence
외롭다,lonely
욕,swear word
원장,ledger
유물,relics
저절로,By itself
정비,maintenance
주의,caution
지난번,last time
집어넣다,put in
통계,statistics
파일,file
피해자,victim
학용품,school supplies
화분,pot
환하다,clear
갈색,brown
감기,cold
강남,Gangnam
구속되다,be arrested
돌아다니다,walk around
멋지다,awesome
반발,repulsion
반찬,side dish
방지,prevention
배다,conceive
보장,guarantee
빠져나오다,get out
새다,leak
소개되다,be introduced
씨,seed
억울하다,It's unfair
오가다,come and go
요구되다,required
음성,voice
이윽고,yet
장식,decoration
전개하다,unfold
전날,eve
전반적,overall
척하다,pretend
풍습,customs
한가운데,midst
한정되다,limited
해내다,accomplish
흉내,mimicry
감옥,prison
갚다,expiate
건전하다,wholesome
결혼식,wedding ceremony
계산기,calculating machine
광장,square
그렇지,yes
깨다,break
꽉,closely
끼우다,insert
노래하다,sing
다듬다,trim
다름없다,It's no different
당당하다,confident
덩어리,loaf
두뇌,brains
등,etc.
물리학,physics
부정적,negative
북부,northern
분리,separation
상당,equivalent
소개,introduction
수화기,receiver
애인,lover
애초,From the beginning
얇다,thin
양념,seasoning
오염되다,polluted
오해,misunderstanding
웬일,Why
의식,consciousness
의지하다,rely on
제한하다,limit
존중하다,respect
창고,storage
책임지다,take responsibility
청춘,prime
트럭,truck
파,green onion
폭넓다,wide
표현되다,expressed
학번,student number
학원,academy
허가,permission
헤매다,wander about
가장,most
곡,song
곡식,cereals
꽂다,stick
두려움,awe
망설이다,hesitate
무리,company
버터,butter
별다르다,It's different
보편적,universal
부품,part
뽑히다,be chosen
서부,western
속담,proverb
시중,city
심사,audit
아이,kid
앞세우다,take the lead
유사하다,similar
유치원,kindergarten
의욕,motivation
인근,vicinity
일반인,general public
작성하다,write
전공,specialty
정기,essence
제의,offer
종일,all day long
좋아지다,get better
차림,outfit
창조하다,create
추위,cold
토마토,tomato
파랗다,blue
펴내다,publish
하드웨어,hardware
화장,makeup
가져가다,take
감자,potato
강렬하다,Intense
갖다,take
괴롭다,pain
교통사고,car accident
군데,here and there
내일,tomorrow
되풀이하다,repeat
딱,Just
리,lee
메시지,message
면하다,avoid
모색하다,grope
붙잡다,seize
빛깔,color
뺨,cheek
사방,everywhere
살림,livelihood
실현,realization
아냐,no
연예인,celebrity
영원히,forever
월급,salary
유행,fashion
이리,here
제발,please
차츰,Gradually
투표,vote
파괴하다,destroy
하느님,Almighty
해당되다,Applicable
홀로,alone
가까이,near
가득하다,full
감히,dare
강요하다,force
개미,ant
관습,custom
광경,spectacle
금세,in no time
낮추다,lower
내주다,let
명의,name
물고기,fish
물러나다,step down
부탁,ask
분량,quantity
불과,only
뻔하다,obvious
상자,box
새해,new year
소박하다,simple
수없이,countless times
승진,promotion
얼음,ice
열매,fruit
점수,score
제한되다,be restricted
쫓기다,chased
통장,bankbook
평가되다,be evaluated
하도,Hado
한창,In full swing
해안,seacoast
호박,pumpkin
갇히다,be confined
결심하다,decide
고장,breakdown
근로,work
눈동자,pupil
늦다,late
닥치다,befall
뜯다,tear off
몸짓,gesture
부담하다,burden
부회장,vice president
빼앗다,usurp
삼키다,gulp down
성실하다,sincere
스튜디오,studio
실제,actual
요새,fortress
이상적,ideal
일쑤,often
일체,one body
자꾸만,Over and over again
잦다,Frequent
절망,despair
접다,fold
제시되다,presented
주방,kitchen
진출하다,advance
짜증,petulance
첫날,first night
통과하다,pass
투명하다,transparent
확산되다,spread
경력,personal history
고통스럽다,It's painful
곤란하다,It's difficult
공중,aerial
공해,pollution
귀찮다,it's bothering
기대다,lean
깨어나다,wake up
꼽히다,be singled out
대다수,plurality
듯싶다,It seems like
먹이,prey
무료,free
밉다,I hate it
발레,ballet
상징하다,symbolize
실현하다,realize
아깝다,It's a waste
안정되다,stabilize
어리석다,foolish
엎드리다,lie down
여럿,many
연설,speech
연필,pencil
염려,concern
우습다,It's funny
운전,drive
익숙하다,familiar
일자,date
잔치,feast
전달되다,delivered
전부,entire
치료하다,cure
칸,Cannes
한,one
갈수록,As time goes by
갖가지,all sorts of things
거절하다,refuse
관광객,tourist
구별하다,distinguish
국,soup
다행,Glad you did
동의,agreement
마무리,finish
마주치다,encounter
막상,Actually
몇,some
몸통,body
못,pond
묘사하다,describe
미술관,art gallery
베다,mow
보장되다,guaranteed
볼,cheek
부분적,partially
불고기,Bulgogi
불리다,be called
불행,misfortune
비명,scream
순수,pure
실질적,practical
안개,fog
여름철,summer season
오로지,entirely
완성하다,complete
이런저런,This and that
임무,duty
자연히,naturally
장난,joke
전용,exclusive
지극히,extremely
청하다,ask
확정,confirmed
가상,pseudomorph
각자,each
간혹,Sometimes
개방하다,open
관계되다,be related
국산,domestically produced
그해,that year
꺼지다,break
꼭대기,top
끊어지다,cut off
도,do
리그,league
마이크,mike
메우다,fill up
면적,area
목욕,bath
반성,reflection
벌떡,Jump up
보상,compensation
분리되다,separate
빚,debt
새기다,carve
서민,people
선정하다,select
세다,count
소수,decimal
연간,annual
영화제,film festival
예측하다,predict
용도,use
자극하다,stimulate
재빨리,quickly
적합하다,fit
전화번호,phone number
